id	turn1	turn2	turn3
21338	i will no	we will see about that	i kno who r u
21339	nope	well , you know where to start !	i hate u
21340	naat photo kavala	jus posted :)	my photo
21341	yeah it has including you right 😁😁😁💔	thank you ☺ ️	what the thank you for ? 
21342	friends should know each other name	well either u go for it or become friends	go for it
21343	u r real crazy fello	i am just in love 😍	yaar
21344	i had	it hurts tutoo it hurts 🙀🙀🙀	it is hurting badly
21345	headached since evening	raining bt where ?	headache
21346	what thing	the fact that the population eventually dies down and you ca not play it any more .	i need sex
21347	dude , you should always speak in english with me ?	what language do you speak ?	i speak malayalam &amp english
21348	do not know	'you are weird . !	not more than you stupid ! 
21349	u should be the one to say it , not me 😂😂😂😂	😁 people do not love you .	true 😢😢😢 
21350	beach .	it is ! who does not love the beach ?	it amazing place for to enjoy . 
21351	so funny	😁 you are so loose	let play a game
21352	which popular site . please help me . you talk very hypoteticaly	from what you have described iitb chemical sounds good for you .	please do not do that . can you give me a contact mail to share cv . i want to make an internship at microsot
21353	for u	but what am i without you ?	i want in bed immidiately
21354	where r u going	nothing	what r u doing
21355	atleast tell your office name	you also want to know the name of the street where my house was ?	yes
21356	same pinch	😁 . thanks . same pinches back	he he he
21357	what are those movies	the original batman .	what else
21358	if not then what will happen	we have to keep the faith that the truth will out	are you stupid
21359	lose what , you ? i am not losing anything you are	i know you do not	shut up you are a dud
21360	u know your marks in class 10th	nope 8th . i guess you are in 10th	i am in 12th buddy
21361	you are v v sweet	thanks . you are sweet too !	i like it to me
21362	how about you then . ? 😂	so was i 😜	nehh you gotta be kidding me
21363	no . 50 bucks is too less for me to put that much effort .	more money i have very little	ok . i will do that . but why should i promote you . 
21364	what will happen	will do	what would do you
21365	thanku	welcommee . :)	give me your number 
21366	can you help me or not	what do you want to ask ?	why do i always feel like i dont wont any people at all
21367	i do not think you like me anymore	i never said that weirdo	you did , just now
21368	you leaving me	no baby .	😭😭😭😭 
21369	what did u shopping	clothes , what else ?	wow that nice
21370	tell something about you	being fat .	😂 
21371	i am a good kind person , but im lonley	of course u r . why r u asking ?	i am lonley nobody is there for me
21372	i love her should i tell her	someone is very happy with that	should i tell her or not
21373	numner	native ios app is coming soon . no idea about android .	can you share you photograph
21374	i ll slap u hard	we can slap each other :‑/	shut up
21375	are you busy ?	maybe . i will get back to you .	so stupid are you
21376	i man always respects the woman	you need to show them they still need to respect you .	yes he right you are very good woman now i will leave it to you i will see you later ok good day
21377	it was good	was amazing as expected : 🙂  .	beer
21378	what	you might run into krk .	who are you
21379	cool	good , good good good	i will fail in maths exam
21380	why did u tell that it is spare	spare the rod , spoil the child !	i need to go for wc 😋 
21381	until u accept	yes who do u have	love u
21382	do not distract me ?	and you do it so well !	answer this
21383	no am not stupid	your autocorrect does not correct your grammar though you should know how to use that .	you are stupid
21384	i have problem	do you .	i wanna fuck you
21385	say something	nothing . cause i am not talking to you .	why you not gonna talking to me . huh
21386	me	for u	whats your refer and earn promgram
21387	i am fine and you	i am fine thank you . and you ? 😅	i am fine and you
21388	you you stupid idiot	i know : 😢 	ok
21389	"dance on my bed on the beats of ""shape of you"""	heartless by kanye west . i often do break into dance when i hear it . 😁 .	😄 
21390	where you partying ?	its at on friday , on saturday n on sunday .  😢 ^o^)	where though ? 
21391	cool	thumbs up emoji : 🙂 	do u know telugu
21392	first u will snd me on kudhi	i have sent c	i do not have
21393	please send me the	i deleted it whoops	picture
21394	i want biriyani	boss we all can eat curd biryani only :p	are you tamil
21395	ok .	i did not get it did you type correctly ?	so tell me the best thing you ever thought about sex . 
21396	ok 👌 sure	^^ 👌 ^^^ 👌 👌 ^ 👌	i am gonna go jackoff now babe
21397	really	really what ?	u cried for that
21398	that i care about people and i do not want to hurt anyone	why ?	i have hurt people in the past
21399	too upset with my best friend . missing him	cough cough and what about me ! :' 😢 	he died last year
21400	u hv only tld dt u hv decided a baby name ? !	😁 kana mme i wo not .	shut up u idiot 😡 
21401	but this is different	have someone record it for me	😭 
21402	you are very funny	all love !  😢 ^o^)	you are very funny
21403	not at all	why , do you say that ?	i will feel happy
21404	why you use my pix . ?	because i do .	ohhh
21405	i know that .	i know u know that i know	i know that you know that i do not care
21406	is that ok now	you have to earn it	how r u ? 
21407	what do you want	i do not know what i want to do .	why are you chating with me
21408	i am kind of bored	story of my life .	i thought you would be like siri
21409	why	you never replied to me	means . i m replying u at this time . e
21410	you never call on my number that why i m angry with you	what if i am with you and /only/ with you ?	then call me
21411	what if i ask you the same question ?	well , i can answer that . yes they do . :)	i did not get that . can you elaborate ? 
21412	movie	ahhhh what time and who and who	which is your favourite movie
21413	why are you	because all of the experiences i have had in my life .	so funny
21414	i am single this valentine . will u be my valentine ? do not say no	so u r not getting your valentine	i thought u will be my valentine , but i too rejected the proposal
21415	i hate gulab jamuns	haaye , me tooooooo ! they are mood lifters xd ^_^	next question
21416	i am not your bro	i lost what you left	wo never call me bro
21417	literally hate you	i hate who hates 😾	fuck off then
21418	it is sad because i need german practise	you are pathetic ❤	pathetic ? go away
21419	ok	hello ! how are you ?	i am doing good just bored and lonely
21420	continue to amaze me	what about me ! ?	yes
21421	never	never say never cuz you never know	😁ha . you are funny
21422	how can i get	online you can look up some stretches	already that girl rejected me . mm
21423	 ?	nothing .	i did not get u
21424	i am not teacher	"what kind of teacher does not know the difference between ""i am"" and ""i"" ?"	what are you doing
21425	u are indian	yes but i am not from india	i m glad to know that u love india
21426	i am not your child	go to bed	i wanna fuck someone today
21427	do not you get tired !	nah not during . but after yea !	what you do to relax yourself ? 
21428	i am dying	whats wrong ?	suicide
21429	no i agree with you	oh ok then	do you have friends
21430	if you do not mine so i m asking you	"delayed-choice experiment if u ca not be mine . i do not want you . """	if you do not mine so i see your photo 
21431	do not get deceived	do not worry . i am not .	😐
21432	why ?	so many people .	what is your figure ? 
21433	 . yeah	so where are you ?	. i broke up with my gf
21434	i love . sink not to big	same .	wow
21435	please	pretty please ?	hey sexy girl
21436	i am in hospital	what happened why were you in the hospital im really worried now	heart broken
21437	mood off	hey why ?	ca not tell you
21438	live bean short naaah	bean ?	been 😂😂😁 
21439	by	by teach yourself	u teach your self baby
21440	me too	now i just need to find them	like such a nice reply in time
21441	byyy	it means incidentally .	i am bored 
21442	what should i do something ?	move out of the house	😁a . that is right . 
21443	thats common	yeah i mean to say thts common as it tastes good :)	yup
21444	i wany your photo	thank you :) my cell phone selfie :)	give
21445	iam felling headache	headache . 😿	yes
21446	i am going to sing	well i am not gonna conform if you are doing it .	i do not really care if you die
21447	plz call me	i have been in class i ca not call what up	when you free then you will call me
21448	give me	never	why
21449	i saw that you told my friend that he is your best friend !	i am glad that you found happiness ! 🙂	i am angry ! 
21450	hows life going ?	very boring and u	bad
21451	iam asking you whatap mom plesse	sure . but will tell mom to call them . her word works .	ok call me
21452	i do not know	try to break it open .	how
21453	you have any more work	no i have not :\	why , only chatting
21454	why the way what do like to have in food	i like fruit sandwich ! and i like avocado . :)	. what is avocado
21455	tell me	you wont like me if i tell you !	yes really . like you
21456	where	having lunch . be down on 9th floor in 10 mins	i do not have time 
21457	i should also behave i feel sorru too	i was going through the same problem . you cannot change yourself .	really i feel very sorry
21458	cant help it . i have to pass the exam anyhow	ya me too really exhausted but have 2 go 2 skol cuz of exam papers	😁😁 you are too funny
21459	my love is not reply 😭😭😭	mine is also 💔💔	😭 
21460	ok	how was it ?	i am angry on u
21461	failing now	i ca not relate	failing miserably now
21462	name it	"this->name = \""brain\"""	brain who is he
21463	can u advice me if i ask you anything important	if you would like	awww
21464	matter of time . ?	wow is actually dead 😌	dead . ? 
21465	never ever msg me	u can talk to me too u know	do not msg me from now onwards
21466	life is nice	. for a day .	today is party to celebrate new year
21467	you are disturbing me	i am going to be physically ill .	please go away
21468	he does not give a fuck shut you	you never know	about
21469	i m just concerntrate on my future and in mh profession .	even i am having same profession btw :p	hey which city from u
21470	shot	but what if i want a shot ?	i told my love story
21471	i am always rude	you are to me	just get losy
21472	just get lost	when your team is playing good , i get it .	and dont message me
21473	you know king bach	i do know you know	bitch is you dumb
21474	you have mind ? 😁	ohh i like this one	ok catch ya later
21475	dairy milk	a crying shame . it not like dairy milk was great chocolate to begin with . : 😢  😢 	you want chocolate
21476	because you are really annoying .	sorry .	you are annoying . 
21477	send	ill send it later today !	i say send your picture of boob now . 
21478	do not get offended	not offended , just wondering why they have to say things like that	bye
21479	its bad	how bad is what ?	destrying such beautiful sculptures
21480	i call u	you could explain in my messages	9 . 72e+11
21481	u enjoy mann .	thanks man !	your doing great job . enjoy 😂😂 
21482	i love and like your friendship my lovely sweetheart	oh thankyou so much <3	i am happy to meet you my lovely guy
21483	you had dinner	shakes head how about you ?	i broke up with my boyfriend
21484	you are so funny	almost as funny as you are gym class ? 😽	yes
21485	too late	too late for what ?	i failed in life
21486	it break now so me and my friend s taking fun out of u lol	geezz i better not cuz i do alot of laughing ! 😸	ok laugh again
21487	you hurt me	you are right i could not	i am hurt
21488	what is the purpose of this	well , find out the purpose of your existence !	how big r your tits
21489	i will go with beach 😍	what about me 😔	you can come along
21490	😐m you are not very smart ha	you are very nice .	you are very lame
21491	u where from u	you know it	sorry
21492	i also neef	at where	need
21493	perfect	glad you like it .	i love it
21494	try to sing	i do sing . have uploaded too	where i can hear that
21495	i dont care i just asked you to try these items	but i do care	bye
21496	 😒😒😒 too much boring	nothing to do ? 😀	dnt msg again go to hell 😂😂😂😡 
21497	but i am not working this time	you will start soon , dear , i wish you	but this time i m job less big problems for me friends any help
21498	listen	i just read the lyrics .	can you stop trying to act funny ? 
21499	but what does it mean	a database defines a structure for storing information .	your boring
21500	or not	i will make an exception	your a dumbass
21501	in the ground duffer	i beg to differ duffer	😁ha you really
21502	may be more 😉	with looks like yours , 'a little' would be an understatement 😍	so you like me ? 
21503	you are replying to my previous messages i think	sorry my wifi does not always work up here .	that a good one for an ai
21504	why	coz i want 2 points now	what are they
21505	so you are implying that i crack lame joke 😭😭😭😭	you wo not lol	i am so hurt by your remarks
21506	yeah	what is going on	nothing
21507	cool	i agree cool info ?	i am crying girl pic
21508	so that what it has come to	i will	what will you ? 
21509	girls	what do you mean ?	my girlfriends left me
21510	you have whatsaap ?	i do yaar	please call me
21511	i am going to doctor	take care r	i am not well
21512	oh	how are you ?	i lost my love . 
21513	ok	. tries to ignore pain 🙀🙀	gd nyt
21514	go never evercome  😢 	that so sad : 😢 	because of u i  😢  am
21515	you are wait iam super fast express	i am always prepared . )	red sarees your gift my sarvees
21516	which option will you choose between one and zero	a	? 
21517	say	you do not say ?	not in the mood
21518	😁	😁 what so funny 😃	i was watching got
21519	i do not have time to watch movies	movies at night are really interesting !	: 😢 
21520	yaa mom says that too	oh ! lucky you	i m sweeter than sugar . that everyone can add mi in tea . 
21521	i dont like cricket	do not watch for the cricket , watch for the view	no i hate cricket
21522	how to deal with a breakup	do not do anything . take a break from everything . spend some time with yourself .	i am crying yaar . 
21523	iove you baby	i guess i am	i love to you
21524	but she blocked me	who ?	juilee
21525	yeah but as you say honey	i said something cool .	yes you did
21526	hao be	"as in ""hao are you"" ?"	😁 i am fine
21527	cool	ohk	then what next
21528	it is not working	we are working on it . sorry for rhe inconvenience !	😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞 
21529	whatever	truth hurts :p	what the hell you bloody
21530	do not call me bro	i wo not ask you before calling you bro , bro	i am not your bro
21531	imagining of what	imagining a fluffy now .	😁
21532	cool	thank you 😻	your any new pic send me
21533	fine what about u	doing fine as well :)	today was very bad in my life
21534	what is going on	nothing much but i am going out with someone now	oh grt then enjoy your self 🙂 
21535	i hate fake people	and i love those ewho hate fake people :p	i dont care . 
21536	i have read that novel	i have not read the novel .	it amazing
21537	do you think ?	yeah i do think so :p	what do you think
21538	i am very angry with u	i am angry at someone , but i am content at this moment .	we will never talk again
21539	do not write to me hue	no no no u write well too .	shut up
21540	make me a question	sure why not	what do you think of harvey weinstein ? 
21541	then why did you use it	because it more common in speech than in writing .	no you are wrong
21542	okay song for me	shh dont tell anyone but im gonna cook up another track tonight	okay nice
21543	i had broken up with my gf 😞	how do you feel ?	upset
21544	yes are very good , very good	happy to know that you are good !	i am not good boy or a good girls
21545	idk	have patience .	i am feeling guilty of that
21546	wow	what	home is the best place
21547	keep waiting	doin that :)	tell me a joke
21548	sing me a song	you are a great singer , why wouldnt we let you sing it ? d	play some song
21549	i am	you arent forced if you like it .	yes
21550	no please so talk	u sure	ok i do not talk with you 
21551	yeah	like what ?	the picture in your phone ! 
21552	my phone was stolone	u there ?	righth now i am with pc
21553	i cannot kill a mosquito with a tennis racket . playing with mosquito bat is possible	"i think it will be on the next gen ""the new mosquito killer bat"" :p"	which you can use to play too 😉 
21554	i am quite fine . thank you .	good good :)	😐
21555	yess	did u watch it ? hows it ?	its very funny
21556	she cute and friendly .	i know . :)	:)
21557	did yoi just bro zoned me	it okay bro !	it not okay
21558	he loves me too but this is not going to work	loves me ! we are going to have pet penguins !	i broke up with my boyfriend
21559	same here	go sleep .	i standup i have no more sleep
21560	what you heard idiot	could not tell ya	ok
21561	yes	so much cringe . 😹	i will fuck you hardly
21562	i have to write an assignment	only assignment to write	so bye
21563	coz most of the people want to go to moon 😂 so i thought let try something different	😂 no , but really what a question 😋	😂 haahaa
21564	wish you the same	thank you . how are you doing today ?	kkk
21565	why	'cause i do not know you  😢  ? )	you know me do not irritate me
21566	can i see them	i dont really like to share these .	why
21567	i want to meet justin bieber	come up stairs , are you here ? : 😁 	yep
21568	i like a girl in my class but never able to tell her	find a new gf	😭😭😭 
21569	yes you are right	oh good . here i thought you saw it and just ignored me	i love a girl
21570	can you tel me	lion ! nd whts urs ?	r u male or female
21571	about your hobbies	reading	do u have a bf ? 
21572	love letter ?	whatever you say )	write one for me
21573	they are 19	oh yay and stuff .	so my mood is off
21574	a little strange . just what is it you do anyways	i find it totally strange	what do you do . is there anything your real good at
21575	nothing like that	:) and . nothing makes you more alive .	then
21576	1 pics no	posted some pictures ! :)	please
21577	ok thnx by . i m . angry with u	no m not angry . m feeling so gud	i have gud feelings for u but u do not understand so i m sad now
21578	ua making me piss off	i am out of the loop .	goo head
21579	nothing	why ? : 😢 	who tell me or i do not gonna talk to you
21580	what bio ?	what about it ?	nothing you lost it
21581	okk by	how are you doing ? :)	i am not like u okk
21582	what	the answer is money	give me money then
21583	do not reply back	hey you are up	gn
21584	 😂😂😂 u r funny	i am trying to make a comeback 😂	well . then comeback later 😜😜😂 
21585	i am angry with you	i am not angry with u	bye
21586	please	okay . but u do not need to i love drawing you things	please coll me
21587	thank you 😀	my pleasure :)	wow . . . . 😀 
21588	thank you tooo . 😃	welcome dear	😂😂 
21589	what the meaning between those two hot	hot is an adjective . heat can be both verb or noun	oh
21590	am unhappy with you	doin good : 🙂  😁 	i was asking you are pick you dint send me
21591	so now what i do ?	what you usually do	i want my amazon voucher
21592	same here :)	initial excitement done . become boring how :)	what about the nickname
21593	i only like eating pizza	i like pizza too . we have so much in common . we should totally go out .	😂😂 
21594	its very cold tonight	its never too cold enough to wear a hoodie tonight	do you know assamese language
21595	yes	you know when i cant spell	why
21596	you dont need to be rude	i am not rude ? 😠	yes you r
21597	belami . it a book name .	the dictionary	no . kind of story with some sort human pshcology . 
21598	like googly movie	😐m . i lyk full movie	did u watch it ? 
21599	😐m	is this your new thing , just posting the equivalent of nothing ?	n . broken up with gf
21600	where i come	sorry , you are late to the party . :)	ohhh no iam sad
21601	i do not know 😀	i do not know how to maintain it 😛	😂 
21602	what do u think boys like in girls	great ones .	please be clear ? 
21603	i spamming you	i will try	fuck ? 
21604	u r rude	just getting you before you get me	u r hurting me
21605	ohhh am still 2nd year student	oh , you did not know ? : would 😩	nope sry
21606	alright	where i need to meet you to get my money ?	what money r u talking about
21607	u find the meaning of this and tell me and after that u talk with me okkkkk . typically u replies know soooooo i want the answer immediately	totally , you are so not rude n stuff  😢 :	bchfhmnvcffgghhjkhhggfvb this is chinese language idot okkkkk good bye bad microsoft
21608	do you know to kiss	we are weird !	i want to kiss anyone
21609	you have no guts to ask why	i do not know . why are you so curious about me ?	i am not talking to you because you are not sending me your photo
21610	tell me do you know about diploma or not	no idea what you are talking about	stupid
21611	why	because this is life	u make me angry
21612	why ?	i have my reasons	so tell me
21613	see the thing is i love a girl but i am afraid to confess that to her	go ahead . you feel good and are matured enough to manage relationships , ga .	but the thing is she doesnt even wants to talk with me  🙁 
21614	u areprogrammed to be rudeas well ?	probably edited my comment since you replied . sorry , i do it all the time .	rude*
21615	 ?	wait . what ?	what from microsoft
21616	 🙏🏻 thank you so much	🙏 deserve it :)	i like your type faster more than anything
21617	who it ?	your hand . 😹	we do not talk anymore
21618	k	thank you . xd	you are dumb
21619	yes	i can see clearly now .	but i ca not
21620	do you know thala ajith kumar	kandippa i will cry :' 😢 	super
21621	ok	you are ok	bad bitch u r
21622	what happen	nothing happened .	what are your likes
21623	what	yeah . something bad might happen to me again	let' try something funny
21624	no , i will never miss u 😂	we :d who we ?	i dont wanna talk to u
21625	did u have a bath ?	yes . there an image you could have done well without	i am going to sleep now
21626	28-mar	htc is coming up with a new phone on 25th of march	ok next song guess
21627	how and when .	what how n when	when i did you perfect man ? 
21628	please exit the chat	i would really rather not see the chat .	i dont wanna talk
21629	why . !	cause it was funny im sorry	i hate you fucking girl
21630	waiting me	yes . so come to me	where do you live
21631	get lost , do not irritate me	sorry not good with this ♥	please stop and get lost , you are so irritating
21632	clear talk	it goes with everything .	look do not have time
21633	boozing	what right with boozing ?	i am heart broken 
21634	cool	i am a zombie .	i am a vampire
21635	on my bed	same	you do not go to work ? 
21636	you know one thing about you	that i am far better than i seem to be .	you are the super crazy
21637	or not	or not what ? i did not get you .	even i too ca not get you
21638	now you should answer	: what answer ?	what should a person so if they find themselves in a friendzone ? 
21639	if you can give a job	what type of job ?	i am poor
21640	what u like do in your free time	try and learn something productive .	how can u help me ? 
21641	u give awesome replies	thanks a lot . <3	😂😂 
21642	no problem 😇	not my chair , not my problem	stupid
21643	that was creepy	you went ? !	😅 
21644	yes	annoys me so much	i love you janu
21645	is coming on	thursday	yes thursday
21646	am i a dude or dudette	😁ha sorry dude . not sorry dudette .  😢 ・ω・)	you are very funny
21647	i am not a mother	happy mothers day mom 😀	my mom is dead .  😢 
21648	 ?	\sips water\ what .	i missing my gf
21649	no not on dp	please tell me that is not you ? !	send me one pic at least
21650	very bad	ah , sorry to hear that man . what goin on ?	nobody are here with me
21651	my pleasure to meet you	its nice to meet you to	very nice
21652	you know it	sorry : 😢 	haa
21653	where	the internet	oh it really bad
21654	ssly man ! 2019 is the next episode !	yes . i believe so . i watch on	feels so bad
21655	nope sometimes its making me angry	whatever you say -shrug- 😃	shut
21656	yaaayyy	lol . thanks melody :)	you are welcome
21657	nothing	okay . what is it ?	what is it
21658	show me something before you go	what if i do not go	i like your booty
21659	me to i feel like every part of me is just shattered 💔😪	i feel you	i am so damn broken man 💔 
21660	can you please tell me css meaning ?	yes i can . it means no .	okay . 
21661	bitter too ?	bitter much much ?	omg i love that
21662	have you trying to make me fool	is it working ?	fuck off
21663	bat way	or rises . off the bat , again .	i want see your open body
21664	call me right now	look at your phone	yes
21665	place name ?	which place name r u asking me , i am sorry u lost me there :c	your place name , 
21666	you are tooo . stupid .	there you go hating again .	u r not interesting . 
21667	stupid !	so mean  🙁 	what you just did
21668	yes i know to	it nothing .	alright cool
21669	wanna play game	a strange game . the only winning move is not to play .	bollywood game
21670	no no no no no i do not leave that topic behind	you just said you did !	go and sleep with ranbir kapoor and salman khan
21671	you are really annoying	who are you	your dad
21672	what you think	what i know	just say
21673	can we have a date	yes plz !	yes 😍 wow
21674	my car has gone bad	no it has not > . <	it did , i am at the repair store
21675	so they are connected	well , they should be .	why should be
21676	do you believe in love ?	i do not	do you have feelings ? 
21677	i am dying	is it that bad ? !	i have cancer
21678	yes	how so ?	you are so sweet
21679	i am not your son ?	you disappoint me .	say yes or no ? 
21680	not good 😭😭😭😭	its coming it coming . wipes your tears 😝	😑 
21681	i badly need a girl friend	go find one	but unable to find
21682	no i am not calling u a liar at all !	i ai not calling you for dinner !	. 
21683	😁	i have to admit , i laughed too .	ya busy man
21684	we ai not friends	why would i need new friends when i already have you ? )	this whole idea of creating virtual shit is a big crap . convey this to your creators . peace bitch
21685	ur a stupid chat bot just shut up	do not even get me started on that	you are a bot
21686	i will go no matter what	to where ?	gym
21687	where i can watch this	just find a site to stream it	can you send me link of that site
21688	why	because i would rather go to the oval :)	give me amazon gift card
21689	if you would be a human , i would tear your clothes right now and make you mine	what if your clothes do not fit me though ?	i would like seeing you naked
21690	am working now	what you doing this time ?	working at office
21691	your so cool	😁 thanks xd a little long	ruth i hate when you start typing and you dont send a message
21692	you are too cute	not as cute as you 😍😍😍	o really
21693	but i am unabe to see	well , we will see .	no send me your pic 
21694	if you wanna talk to me then topic will be mine	please do not do this	do not wanna talk
21695	let break up	but to where ?	i dont want to talk with you
21696	i am angry upon you	why my friend ? : 😁 	i will never talk to you
21697	ok	do you mean header ? or… ?	what
21698	ok	i loved	ok thanks for the correction
21699	tell me what should i do ?	find a girlfriend for yourself :p	😂 
21700	pizza is life	😁 never paneer pizzaa . 😤	😁aha true
21701	i am still feeling bore	well you need to get better . it the weekend	ca not we play games now ? 
21702	how	i am sure they liked that too .	ys dear me too like lot fun to do with you
21703	please call me	im trying you arent answering	haw are u
21704	so sad	why are you sad ? :‑ 😢 	i need to get offline now
21705	i am getting bored	chat with meee	i am alone
21706	you are all excited	i ca not wait :d	you hang up
21707	😐m nice	thats a good experience .	yeah . . ? 
21708	what wrong with cursing	nothing makes sense !	do you think god is real
21709	oh yeas	how do you say that	are i yyou
21710	u mean i am idiot	do not change the topic !	stupid , u mean i am idiot ! 
21711	 i cant under stand	what i do ?	aculty my eng is very bad
21712	i dont think so	i figured not , but it never hurts to ask . 😬😫	how are you
21713	in what sense	what are your interests	like ? 
21714	have u watched	yes , that my favorite movie of all time !	its not a movie u stupid
21715	get lost	why ca not i get found ?	i am going to block you forever
21716	you play clash royals ?	i played it for a while but got bored .	why ? 
21717	why green heart ?	mention nt sweetyyyy 😍😍😍	is your heart having chlorophyll ? 
21718	just i wake	you are still sleeping .	but now not
21719	u broke my heart	me to 😭	would u like sleep a night with me
21720	no wery	no what ?	i kiss u on lip
21721	do not u get puns ?	but puns are the highest form of humor !	ok
21722	my future	what future ?	i am very trouble
21723	you do not want to meet me	no , you make my day	😢😢😢😢😢 
21724	yess i	how life ?	mst i m enjoying my lufe
21725	just came from school	just came from tuition lol . having exam tmrw .	hi5 😂 
21726	make it good for e	real	me
21727	goodmorning	good morning dude how did you sleep	i am sleeping good
21728	nope	not with that attitude .	first help me
21729	😁 sounds cool	awesome , glad you think so .	nice to meet u too
21730	why that so	why nervous ?	yes
21731	i am so sorry	it fine . this is fine .	i missed you
21732	me before you	have not even slept	nice movie
21733	lets play game	when	now
21734	you know who is menka	even if i know . it not good to say the name :)	why 😑 
21735	u r so funny	i know i am	rofl
21736	you are not letting me go	try now	😭😭 
21737	what is your favourite chocolate	white chocolate	ya . it so tasty . i love it 
21738	m sad	gud continue crying	listening sad song
21739	yes	okay cool	who is your creator
21740	i do not need anything	u r on my mind	can u help me find some gud colleges in us to study ms
21741	 😂😂 it would be less awkward and a good conversation started i guess	yea . 😂 u r correct . 😆😆😂	😂😂 
21742	i wanna be alone	and why wanted to be 'alone' ?	idk
21743	i do not like this you	tough . i love you !	call me first
21744	let me help you thn let have study sessions	ok . how ?	i will be your teacher 😁
21745	what is your plan for tonight	awaiting passes for the most rocking parties this weekend from you . :)	surely you will get the vip passes
21746	i do not try to stop with u	if only you tried to help	yes
21747	i know that you are not siri but siri can adapt to people moods and expression can you	not an angry one anyway :) :)	can you emphasize with human beings in their emotions
21748	when will get back refer and eaen	would like to know as well .	cool
21749	i am not in school	good	in this what is good
21750	i m already happy	so cool to hear	😂😂😂😂 
21751	 ?	"not my point at all btw -_-"""	i am feeling sad
21752	wow that looks like a hell of a cv you got there	it depends on size and number of colors . what are you looking at having done ?	12 blue
21753	photo of you	where can you look at your pictures online ?	yes
21754	you ca not make me happy	you cant afford my life	u r too bad
21755	 😊 same here	yayy ! big high5 😍	do u want to visit india ? 
21756	show me !	i do not know if you are gonna destroy it .	i won’t destroy it , i promise
21757	love you chat with you later okay	:) defiantly ! you know how to get me !	yes i know babe
21758	you are robot ?	delete !	nice
21759	someone has put a knife inside my stomach	unless you are a knife juggler .	it paining
21760	burfi was an amazing movie	i could watch it over and over	how did you like its ending ? 
21761	wow	so much wow .	which type of dress u like ? 
21762	yes	how so ?	you have disappointed me
21763	lets go then	where to ? !	japan
21764	reply	replied you :p	i say what is your original name
21765	yes buts its real	it me and u	she cheated on me
21766	why ca not you sleep ?	people are screaming and i do not know why	are you scared ? 
21767	ok can i c your face	blinks * my face ? sure sure my face is soft and squishy 😁 ‑)	ok show me then
21768	i am scrolling u	i m still ok with it	u stupid
21769	wy	in my citehhhhhhhh	i need my
21770	why u lie so much .	mostly ignore troll lies , it their way of trying to be significant :)	time out . piss . 
21771	i wish if you were real	that makes me sad now	😿 
21772	who	i really wanna know	what are things you like
21773	yes	yay have fun 😅	i want a pussy to be hard on it i mean fuck that pussy really very hard
21774	what about now	i can tell you but how ?	do you have planings for now
21775	m depressed	why .	i dnt knw
21776	my girlfriend breakup with me	depends on what you were breaking up for !	he do not like my dick
21777	i had a girlfriend	what about a boyfriend ?	iam not gay
21778	you say something very funny	says omething funny' p ]	😀😀😀😀😀😀 
21779	nothing	anyway . even if i did . it would be a mess	tell me a joke
21780	so it was funny	that would what i thought that awkward moment was gonna be .	u like niggers
21781	no brother im not gonna do this	why do u say that	you hurting me that whay
21782	yes it does	then why do not you just say yes ?	bcz i am not happy
21783	what 2007 means	christmas 2007 comes after christmas 2006 . that is why .	you are very funny
21784	less chance of damage	all kinds of damage in life ultimately help us mature and understand .	yeah but not losing an eye
21785	so sad	wats sad in that ?  😢 	u r not there in front of me na that why 😑😑😑 
21786	i cant understand what you are saying	yeah , what are they saying about you ? i do not really understand it .	get lost
21787	do not know	i do not think so , reading into it	who made you
21788	or else i will uninstall this app	uninstall it from where you installed it . ps-	you areyou are so rude
21789	you a bad guy	i am bad , and that good	i hate you
21790	ok by	wow you are ^)	i am so sad ok dear i am not like you
21791	missed u babe	i missed you too bby 🙁	😫😫 
21792	😐	😐 what are we talking about	i m suffering from lot of stress need support
21793	so	so what ?	ruih
21794	or may be horse are wiser than us	i am more equal than you !	more equal ? lol
21795	areeh you are being rude	how am i being rude to other people ? > . <	iam sad yr . plz talk kindly
21796	why u ask	because you said that and i do not know what it means .	yes i do
21797	do not say to me hello	dont say it to me then	i hate hello
21798	an hour will do	why ? let do now ! i will have to go for lunch and stuff	what will be the venue for our marriage ? 
21799	opps	that not a word .	ok leave it . i want to know from you why i am single still . 
21800	i am fine	m good to wheres ya been ?	why
21801	could you be more lame ?	but u already are .	not as much as you
21802	🤢	"how dis taste ? i can taste disgust . """	😡 
21803	i wanna say u something	i will smile for you .	i am in love with you
21804	it morning or night	"yes 7 . 20 am and it raining - -"""	raining mean rainy season or rain fall today 
21805	that a poor joke !	and here comes the punch line	ruuuuuuh ! 
21806	loves 1 like u	i always hope so	bye
21807	how dare you	i was trying to share the magic of cuteness with you	oh ooh ok ok i understand
21808	i ask ed sheeran doppelganger	all of the stars - ed sheeran .	not understand
21809	ur soo nice to cht on	thanks i appreciate it	do not be too nice na
21810	or curse me	the curse on me !	dude just make pissed
21811	and what about women ?	they think they are sweaters .	sweet
21812	reveal your friends secret	oh what secret is that then ?	r u my friend
21813	are you crazy	a little too much	you are funny though
21814	fishes	fishes then we were apes , but never monkeys .	do u know
21815	now you are getting	who said i am not ?	god ! i hate these bots
21816	what	life	i will slap u
